NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                                                                                                     ,TIPO DE ESTABELECIMENTO                ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                          ,NUMERO  ,BAIRRO          ,CEP
S7VEN CAR MULTIMARCAS LTDA                                                                     ,"4,9"                              ,(28)                                    ,"AV. PEDRO CALAZANS, 594 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,CONCESSIONÁRIA                         ,(79) 99837-3234            ,AV. PEDRO CALAZANS                  ,594     ,GETÚLIO VARGAS  ,49055-520
IMPÉRIO AUTOMÓVEIS                                                                             ,"4,7"                              ,(21)                                    ,"RUA, AV. PEDRO CALAZANS, 123 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                      ,CONCESSIONÁRIA                         ,Contato não disponível     ,RUA                                 ,AV      ,CENTRO          ,49010-490
PIRES AUTOMÓVEIS                                                                               ,"4,4"                              ,(30)                                    ,"AV. CARLOS BURLAMARQUI, 684 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,REVENDEDORA DE CARROS USADOS           ,(79) 3241-4626             ,AV. CARLOS BURLAMARQUI              ,684     ,GETÚLIO VARGAS  ,49055-150
CARIRA AUTOMOVEIS                                                                              ,"4,4"                              ,(23)                                    ,"AV. COELHO E CAMPOS, 793 - 18 DO FORTE, ARACAJU - SE, 49010-720"                                                                                                     ,REVENDEDORA DE CARROS USADOS           ,(79) 99859-7578            ,AV. COELHO E CAMPOS                 ,793     ,18 DO FORTE     ,49010-720
FÁBIO TELES AUTOMÓVEIS                                                                         ,"4,4"                              ,(31)                                    ,"AV. PEDRO CALAZANS, 43 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,CONCESSIONÁRIA                         ,(79) 3025-1325             ,AV. PEDRO CALAZANS                  ,43      ,CENTRO          ,49010-490
RGR AUTOMOVEIS                                                                                 ,"4,3"                              ,(27)                                    ,"AV. SÃO PAULO, 815 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-530"                                                                                                       ,CONCESSIONÁRIA DE VEÍCULOS MOTORIZADOS ,(79) 99154-0098            ,AV. SÃO PAULO                       ,815     ,SIQUEIRA CAMPOS ,49075-530
IDEAL MULTIMARCAS                                                                              ,"4,8"                              ,(34)                                    ,"AV. DES. MAYNARD, 370 - CIRURGIA, ARACAJU - SE, 49052-210"                                                                                                           ,CONCESSIONÁRIA DE VEÍCULOS MOTORIZADOS ,(79) 3303-2285             ,AV. DES. MAYNARD                    ,370     ,CIRURGIA        ,49052-210
R&A AUTOMOVEIS                                                                                 ,"4,7"                              ,(18)                                    ,"AV. COELHO E CAMPOS, 766 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,CONCESSIONÁRIA                         ,(79) 3023-3765             ,AV. COELHO E CAMPOS                 ,766     ,SANTO ANTÔNIO   ,49060-000
"BYD TERRA SANTA ARACAJU: CONCESSIONÁRIA, CARROS ELÉTRICOS, CARROS HÍBRIDOS"                   ,"4,9"                              ,(326)                                   ,"AV. MINISTRO GERALDO BARRETO SOBRAL, 1740 - GRAGERU, ARACAJU - SE, 49027-255"                                                                                        ,CONCESSIONÁRIA                         ,(79) 4004-4995             ,AV. MINISTRO GERALDO BARRETO SOBRAL ,1740    ,GRAGERU         ,49027-255
MAGO AUTOMÓVEIS                                                                                ,"4,9"                              ,(14)                                    ,"AV. COELHO E CAMPOS, 783 - CENTRO, ARACAJU - SE, 49060-000"                                                                                                          ,REVENDEDORA DE CARROS USADOS           ,(79) 3215-1355             ,AV. COELHO E CAMPOS                 ,783     ,CENTRO          ,49060-000
