NOME DO ESTABELECIMENTO                               ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                     ,TIPO DE ESTABELECIMENTO                      ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                                            ,NUMERO ,BAIRRO ,CEP
AUTO POSTO PETROX                                     ,"4,0"                              ,(176)                                   ,"AV. MURILO DANTAS, 941 - FAROLÂNDIA, ARACAJU - SE, 49032-490"                        ,POSTO DE COMBUSTÍVEL                         ,(79) 3248-3677             ,AV. MURILO DANTAS                                     ,   941 ,       ,49032-490
POSTO PETROBRAS                                       ,"4,0"                              ,(182)                                   ,"R. FIRMINO FONTES, 233 - FAROLÂNDIA, ARACAJU - SE, 49037-220"                        ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. FIRMINO FONTES                                     ,   233 ,       ,49037-220
POSTO PETROX LAMARÃO                                  ,"4,0"                              ,(525)                                   ,"AV. PAULO FIGUEIREDO BARRETO - LAMARÃO, ARACAJU - SE, 49088-010"                     ,POSTO DE COMBUSTÍVEL                         ,(79) 3225-4300             ,AV. PAULO FIGUEIREDO BARRETO - LAMARÃO                ,       ,       ,49088-010
POSTO PRESIDENTE                                      ,"4,1"                              ,(182)                                   ,"AV. MARANHÃO, 1554 - 18 DO FORTE, ARACAJU - SE, 49072-000"                           ,POSTO DE COMBUSTÍVEL                         ,(79) 3245-2757             ,AV. MARANHÃO                                          ,  1554 ,       ,49072-000
VENEZA AUTO POSTO GNV                                 ,"4,0"                              ,(901)                                   ,"AV. ALCÍDES FONTES, 290 - NOVA VENEZA, ARACAJU - SE, 49085-020"                      ,POSTO DE COMBUSTÍVEL                         ,(79) 3241-4664             ,AV. ALCÍDES FONTES                                    ,   290 ,       ,49085-020
PETROBRAS - EDISER                                    ,"4,3"                              ,(906)                                   ,"RUA ACRE, 2504 - AMÉRICA, ARACAJU - SE, 49080-010"                                   ,POSTO DE COMBUSTÍVEL                         ,(79) 3212-2368             ,RUA ACRE                                              ,  2504 ,       ,49080-010
AUTO POSTO MAR AZUL SHELL                             ,"4,2"                              ,(145)                                   ,"AV. GEN. EUCLÍDES FIGUEIREDO, 09 - PORTO D'ANTAS, ARACAJU - SE, 49067-000"           ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. GEN. EUCLÍDES FIGUEIREDO                          ,    09 ,       ,49067-000
BR                                                    ,"5,0"                              ,(1)                                     ,"R. CONSTRUTOR JOÃO ALVES, 279 - 13 DE JULHO, ARACAJU - SE, 49020-365"                ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. CONSTRUTOR JOÃO ALVES                              ,   279 ,       ,49020-365
PETROX - AUTO POSTO                                   ,"4,1"                              ,(149)                                   ,"AV. JOÃO RIBEIRO, 565 - SANTO ANTÔNIO, ARACAJU - SE, 49060-330"                      ,POSTO DE COMBUSTÍVEL                         ,(79) 3215-8049             ,AV. JOÃO RIBEIRO                                      ,   565 ,       ,49060-330
POSTO CEASA                                           ,"4,0"                              ,(68)                                    ,"AV. ENG. GENTIL TAVARES, 381 - GETÚLIO VARGAS, ARACAJU - SE, 49055-260"              ,POSTO DE COMBUSTÍVEL                         ,(79) 98136-4852            ,AV. ENG. GENTIL TAVARES                               ,   381 ,       ,49055-260
POSTO PETROBRAS                                       ,"5,0"                              ,(1)                                     ,"AV. MARECHAL RONDON, 1320 - CAPUCHO, ARACAJU - SE, 49081-120"                        ,POSTO DE COMBUSTÍVEL                         ,(79) 99997-2164            ,AV. MARECHAL RONDON                                   ,  1320 ,       ,49081-120
POSTO PETROX CASTELO BRANCO                           ,"4,0"                              ,(294)                                   ,"AV. ACRÍSIO GARCEZ, 195 - PONTO NOVO, ARACAJU - SE, 49097-050"                       ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. ACRÍSIO GARCEZ                                    ,   195 ,       ,49097-050
POSTO JAGUAR II                                       ,"4,2"                              ,(102)                                   ,"AV. JOSÉ CARLOS SILVA, 4669 - SÃO CONRADO, ARACAJU - SE, 49042-190"                  ,POSTO DE COMBUSTÍVEL                         ,(79) 3251-3213             ,AV. JOSÉ CARLOS SILVA                                 ,  4669 ,       ,49042-190
BR MANIA                                              ,"4,4"                              ,(16)                                    ,"AV. PEDRO VALADARES, 680 - GRAGERU, ARACAJU - SE, 49026-115"                         ,LOJA DE CONVENIÊNCIA                         ,Contato não disponível     ,AV. PEDRO VALADARES                                   ,   680 ,       ,49026-115
POSTO PETROX ARUANA                                   ,"4,3"                              ,(1.544)                                 ,"ROD. DOS NÁUFRAGOS, 4700 - ARUANA, ARACAJU - SE, 49000-016"                          ,POSTO DE COMBUSTÍVEL                         ,(79) 3304-0300             ,ROD. DOS NÁUFRAGOS                                    ,  4700 ,       ,49000-016
POSTO PETROBRAS                                       ,"3,9"                              ,(46)                                    ,"AV. PRES. JUSCELINO KUBITSCHECK, 384 - PALESTINA, ARACAJU - SE, 49060-270"           ,POSTO DE COMBUSTÍVEL                         ,(79) 99997-2164            ,AV. PRES. JUSCELINO KUBITSCHECK                       ,   384 ,       ,49060-270
POSTO PETROX                                          ,"4,1"                              ,(783)                                   ,"AV. PRES. TANCREDO NEVES, 4501 - INÁCIO BARBOSA, ARACAJU - SE, 49095-000"            ,POSTO DE COMBUSTÍVEL                         ,(79) 3225-4316             ,AV. PRES. TANCREDO NEVES                              ,  4501 ,       ,49095-000
POSTO PETROBRAS                                       ,"4,2"                              ,(347)                                   ,"ROD. DOS NÁUFRAGOS, 11800 - MOSQUEIRO, ARACAJU - SE, 49008-093"                      ,POSTO DE COMBUSTÍVEL                         ,(79) 3248-5555             ,ROD. DOS NÁUFRAGOS                                    , 11800 ,       ,49008-093
POSTO PETROBRAS                                       ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. DR. CARLOS FIRPO, 265 - CENTRO, ARACAJU - SE, 49010-250"                         ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. DR. CARLOS FIRPO                                  ,   265 ,       ,49010-250
POSTO COMBUSTÍVEL TYRESOLES                           ,"4,4"                              ,(124)                                   ,"ROD. DOS NÁUFRAGOS, 3685 - GAMELEIRA, ARACAJU - SE, 49008-090"                       ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,ROD. DOS NÁUFRAGOS                                    ,  3685 ,       ,49008-090
