NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
CAMESA AUTOMÓVEIS                                                                              ,"4,6"                              ,(47)                                    ,"AV. DES. MAYNARD, Nº 915 - PEREIRA LOBO, ARACAJU - SE, 49052-335"                                                                                                    ,Revendedora de carros usados           ,(79) 99979-7999
S7VEN CAR MULTIMARCAS LTDA                                                                     ,"4,9"                              ,(28)                                    ,"AV. PEDRO CALAZANS, 594 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Concessionária                         ,(79) 99837-3234
IMPÉRIO AUTOMÓVEIS                                                                             ,"4,7"                              ,(21)                                    ,"RUA, AV. PEDRO CALAZANS, 123 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                      ,Concessionária                         ,Contato não disponível
PIRES AUTOMÓVEIS                                                                               ,"4,4"                              ,(30)                                    ,"AV. CARLOS BURLAMARQUI, 684 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Revendedora de carros usados           ,(79) 3241-4626
CARIRA AUTOMOVEIS                                                                              ,"4,4"                              ,(23)                                    ,"AV. COELHO E CAMPOS, 793 - 18 DO FORTE, ARACAJU - SE, 49010-720"                                                                                                     ,Revendedora de carros usados           ,(79) 3211-8750
FÁBIO TELES AUTOMÓVEIS                                                                         ,"4,4"                              ,(31)                                    ,"AV. PEDRO CALAZANS, 43 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,Concessionária                         ,(79) 3025-1325
RGR AUTOMOVEIS                                                                                 ,"4,3"                              ,(27)                                    ,"AV. SÃO PAULO, 815 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-530"                                                                                                       ,Concessionária de veículos motorizados ,(79) 99154-0098
IDEAL MULTIMARCAS                                                                              ,"4,8"                              ,(34)                                    ,"AV. DES. MAYNARD, 370 - CIRURGIA, ARACAJU - SE, 49052-210"                                                                                                           ,Concessionária de veículos motorizados ,(79) 3303-2285
R&A AUTOMOVEIS                                                                                 ,"4,7"                              ,(18)                                    ,"AV. COELHO E CAMPOS, 766 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Concessionária                         ,(79) 3023-3765
"BYD TERRA SANTA ARACAJU: CONCESSIONÁRIA, CARROS ELÉTRICOS, CARROS HÍBRIDOS"                   ,"4,9"                              ,(329)                                   ,"AV. MINISTRO GERALDO BARRETO SOBRAL, 1740 - GRAGERU, ARACAJU - SE, 49027-255"                                                                                        ,Concessionária                         ,(79) 4004-4995
MAGO AUTOMÓVEIS                                                                                ,"4,9"                              ,(14)                                    ,"AV. COELHO E CAMPOS, 783 - CENTRO, ARACAJU - SE, 49060-000"                                                                                                          ,Revendedora de carros usados           ,(79) 3215-1355
"ARABI AUTOMÓVEIS- LOJA DE CARROS SEMINOVOS, NOVOS E USADOS - COMPRA, VENDE, TROCAR, FINANCIA" ,"4,2"                              ,(15)                                    ,"AV. CARLOS BURLAMARQUI, 637 - CENTRO, ARACAJU - SE, 49010-660"                                                                                                       ,Revendedora de carros usados           ,(79) 3211-2650
SAMAM FIAT RIOMAR                                                                              ,"4,4"                              ,(328)                                   ,"AV. MARIO JORGE MENEZES VIÊIRA, 600 - COROA DO MEIO, ARACAJU - SE, 49035-660"                                                                                        ,Concessionária                         ,(79) 3194-1800
PEDRINHO AUTOMOVÉIS                                                                            ,"4,7"                              ,(23)                                    ,"AV. CARLOS BURLAMARQUI, 731 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Concessionária                         ,(79) 3222-7332
FOFÃO MULTIMARCAS                                                                              ,"4,9"                              ,(14)                                    ,"AV. PEDRO CALAZANS, 300 - GETÚLIO VARGAS, ARACAJU - SE, 49055-220"                                                                                                   ,Revendedora de carros usados           ,(79) 99988-4399
PRIMECAR AUTOMÓVEIS                                                                            ,"4,6"                              ,(12)                                    ,"AV. COELHO E CAMPOS, 649 - CENTRO, ARACAJU - SE, 49010-720"                                                                                                          ,Revendedora de carros usados           ,(79) 99988-0164
ADRIANO VEICULOS                                                                               ,"5,0"                              ,(3)                                     ,"ROD. DOS NÁUFRAGOS - ROBALO, ARACAJU - SE, 49039-000"                                                                                                                ,Revendedora de carros usados           ,(79) 99841-8176
SANVEL NISSAN                                                                                  ,"4,5"                              ,(639)                                   ,"AV. PRES. TANCREDO NEVES, 640 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                    ,Concessionária Nissan                  ,(79) 3215-4900
CIMAVEL SEMINOVOS                                                                              ,"4,3"                              ,(803)                                   ,"AV. OVIEDO TEIXEIRA, 1001 - JARDINS, ARACAJU - SE, 49026-100"                                                                                                        ,Concessionária Ford                    ,(79) 3045-2500
EXCLUSIVE MULTIMARCAS - CARRO DE QUALIDADE ENCONTRA AKI                                        ,"4,8"                              ,(8)                                     ,"AV. COELHO E CAMPOS, 842 - SANTO ANTÔNIO, ARACAJU - SE, 49030-000"                                                                                                   ,Agente comercial de carros             ,(79) 99998-3520
GT AUTOMÓVEIS ARACAJU                                                                          ,"5,0"                              ,(11)                                    ,"AV. CARLOS BURLAMARQUI, 716 - CENTRO, ARACAJU - SE, 49055-150"                                                                                                       ,Revendedora de carros usados           ,(79) 99661-2533
CLASSE A AUTOMÓVEIS                                                                            ,"4,3"                              ,(11)                                    ,"AV. COELHO E CAMPOS, 784 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Concessionária                         ,(79) 98855-1010
MGM AUTOMÓVEIS                                                                                 ,"4,9"                              ,(13)                                    ,"AV. PEDRO CALAZANS, 621 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Revendedora de carros usados           ,(79) 99907-7731
JONATAS AUTOMOVEIS                                                                             ,"4,9"                              ,(14)                                    ,"AV. CARLOS BURLAMARQUI, 759 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Concessionária de veículos motorizados ,(79) 99991-7782
MARDISA AUTOMÓVEIS MERCEDES-BENZ - ARACAJU SE                                                  ,"4,9"                              ,(152)                                   ,"AV. PRES. TANCREDO NEVES, 5033 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,Concessionária Mercedes-Benz           ,(79) 3225-8740
HYUNDAI HMB TERRA SANTA ARACAJU SE                                                             ,"4,9"                              ,(1.854)                                 ,"AV. MINISTRO GERALDO BARRETO SOBRAL, 246 - GRAGERU, ARACAJU - SE, 49026-010"                                                                                         ,Concessionária Hyundai                 ,(79) 4003-0161
ULTRA VEICULOS                                                                                 ,"4,9"                              ,(11)                                    ,"AV. COELHO E CAMPOS, 741 - 18 DO FORTE, ARACAJU - SE, 49060-000"                                                                                                     ,Concessionária                         ,(79) 99882-1515
ZECA AUTOMÓVEIS                                                                                ,"4,8"                              ,(13)                                    ,"AV. COELHO E CAMPOS, 1187 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,Concessionária                         ,(79) 99900-4635
AUTOS AJU SEMINOVOS                                                                            ,"4,3"                              ,(9)                                     ,"AV. PEDRO CALAZANS, 107 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Revendedora de carros usados           ,(79) 99911-6839
GALEGUINHO VEÍCULOS                                                                            ,"4,3"                              ,(3)                                     ,"AV. CARLOS BURLAMARQUI, 1047 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                              ,Revendedora de carros usados           ,(79) 3215-1489
GIVALDO VEÍCULOS                                                                               ,"4,7"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 1139 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,Concessionária                         ,(79) 3214-7071
ARACAJU MULTIMARCAS                                                                            ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 910 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,(79) 98819-7051
"RENOVEL RENAULT, SUA CONCESSIONÁRIA RENAULT EM SERGIPE"                                       ,"4,6"                              ,(1.742)                                 ,"AV. PRES. TANCREDO NEVES, 600 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                    ,Concessionária da Renault              ,(79) 3025-9898
"AUDI CENTER: CONCESSIONÁRIA, CARROS, SEMINOVOS EM ARACAJU SE"                                 ,"4,6"                              ,(90)                                    ,"AV. PRES. TANCREDO NEVES, 1254 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Audi                    ,(79) 3212-6390
LEOCAR VEÍCULOS                                                                                ,"5,0"                              ,(3)                                     ,"AV. DES. MAYNARD, 692 - CIRURGIA, ARACAJU - SE, 49055-210"                                                                                                           ,Revendedora de carros usados           ,(79) 3214-7575
JOAO FAZ MULTIMARCAS- LOJA DE CARROS-ARACAJU                                                   ,"1,8"                              ,(15)                                    ,"AV. AUGUSTO FRANCO, 1075 - GETÚLIO VARGAS, ARACAJU - SE, 49055-080"                                                                                                  ,Agente comercial de carros             ,(79) 99994-0084
GARAGEM AJU AUTOMOVEIS                                                                         ,"4,8"                              ,(13)                                    ,"R. LARANJEIRAS, 1551 - GETÚLIO VARGAS, ARACAJU - SE, 49055-380"                                                                                                      ,Revendedora de carros usados           ,(79) 99909-1070
"SAMAM JEEP RIOMAR: CARROS NOVOS, COMPASS, RENEGADE, TROCA DE ÓLEO, ARACAJU SE"                ,"4,6"                              ,(32)                                    ,"AV. DELMIRO GOUVEIA, 600 - COROA DO MEIO, ARACAJU - SE, 49035-660"                                                                                                   ,Concessionária Jeep                    ,(79) 3194-1810
SAMAM HYUNDAI                                                                                  ,"4,3"                              ,(716)                                   ,"R. BASÍLIO ROCHA, 142 - GETÚLIO VARGAS, ARACAJU - SE, 49055-100"                                                                                                     ,Concessionária Hyundai                 ,(79) 3198-1500
VIA CAR AUTOMÓVEIS                                                                             ,"5,0"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 1197 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,Concessionária                         ,(79) 99172-1819
CRED - CAR VEÍCULOS                                                                            ,"4,3"                              ,(39)                                    ,"AV. COELHO E CAMPOS, 1150 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,Concessionária                         ,(79) 3246-6790
ROGÉRIO VEÍCULOS                                                                               ,"5,0"                              ,(9)                                     ,"AV. PEDRO CALAZANS, 716 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Revendedora de carros usados           ,(79) 3222-3430
