NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
RGR AUTOMOVEIS                                                                                 ,"4,3"                              ,(27)                                    ,"AV. SÃO PAULO, 815 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-530"                                                                                                       ,Concessionária de veículos motorizados ,Contato não disponível
IDEAL MULTIMARCAS                                                                              ,"4,8"                              ,(34)                                    ,"AV. DES. MAYNARD, 370 - CIRURGIA, ARACAJU - SE, 49052-210"                                                                                                           ,Concessionária de veículos motorizados ,"3WJQ+JJ Cirurgia, Aracaju - SE"
R&A AUTOMOVEIS                                                                                 ,"4,7"                              ,(18)                                    ,"AV. COELHO E CAMPOS, 766 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Concessionária                         ,Contato não disponível
"BYD TERRA SANTA ARACAJU: CONCESSIONÁRIA, CARROS ELÉTRICOS, CARROS HÍBRIDOS"                   ,"4,9"                              ,(328)                                   ,"AV. MINISTRO GERALDO BARRETO SOBRAL, 1740 - GRAGERU, ARACAJU - SE, 49027-255"                                                                                        ,Concessionária                         ,(79) 4004-4995
MAGO AUTOMÓVEIS                                                                                ,"4,9"                              ,(14)                                    ,"AV. COELHO E CAMPOS, 783 - CENTRO, ARACAJU - SE, 49060-000"                                                                                                          ,Revendedora de carros usados           ,Contato não disponível
"ARABI AUTOMÓVEIS- LOJA DE CARROS SEMINOVOS, NOVOS E USADOS - COMPRA, VENDE, TROCAR, FINANCIA" ,"4,2"                              ,(15)                                    ,"AV. CARLOS BURLAMARQUI, 637 - CENTRO, ARACAJU - SE, 49010-660"                                                                                                       ,Revendedora de carros usados           ,Contato não disponível
SAMAM FIAT RIOMAR                                                                              ,"4,4"                              ,(328)                                   ,"AV. MARIO JORGE MENEZES VIÊIRA, 600 - COROA DO MEIO, ARACAJU - SE, 49035-660"                                                                                        ,Concessionária                         ,Contato não disponível
PEDRINHO AUTOMOVÉIS                                                                            ,"4,7"                              ,(23)                                    ,"AV. CARLOS BURLAMARQUI, 731 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Concessionária                         ,Contato não disponível
FOFÃO MULTIMARCAS                                                                              ,"4,9"                              ,(14)                                    ,"AV. PEDRO CALAZANS, 300 - GETÚLIO VARGAS, ARACAJU - SE, 49055-220"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
PRIMECAR AUTOMÓVEIS                                                                            ,"4,6"                              ,(12)                                    ,"AV. COELHO E CAMPOS, 649 - CENTRO, ARACAJU - SE, 49010-720"                                                                                                          ,Revendedora de carros usados           ,Contato não disponível
ADRIANO VEICULOS                                                                               ,"5,0"                              ,(3)                                     ,"ROD. DOS NÁUFRAGOS - ROBALO, ARACAJU - SE, 49039-000"                                                                                                                ,Revendedora de carros usados           ,Contato não disponível
CIMAVEL SEMINOVOS                                                                              ,"4,3"                              ,(803)                                   ,"AV. OVIEDO TEIXEIRA, 1001 - JARDINS, ARACAJU - SE, 49026-100"                                                                                                        ,Concessionária Ford                    ,"2WXR+5R Jardins, Aracaju - SE"
EXCLUSIVE MULTIMARCAS - CARRO DE QUALIDADE ENCONTRA AKI                                        ,"4,8"                              ,(8)                                     ,"AV. COELHO E CAMPOS, 842 - SANTO ANTÔNIO, ARACAJU - SE, 49030-000"                                                                                                   ,Agente comercial de carros             ,Contato não disponível
